% Created by Marsyas
@relation newmetalMFCC.arff
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute output {newmetal,metal,rock,jazz,pop,hiphop,classical,reggae,blues,country, disco}


@data
0.047169,0.089044,0.077265,-64.738512,6.104865,-0.935294,1.019903,0.963564,0.861567,0.297963,0.750353,0.460345,0.532135,0.452306,0.056419,-0.101686,0.027744,0.055035,0.046736,5.123706,2.001156,0.630317,0.591971,0.499513,0.481618,0.402607,0.444550,0.413547,0.393032,0.339899,0.371332,0.373107,0.024896,0.045824,0.013904,5.516355,1.354256,0.708061,0.502482,0.362378,0.337161,0.324517,0.315169,0.282510,0.219446,0.219155,0.189396,0.249471,0.038326,0.070265,0.031848,5.311459,0.821795,0.235414,0.150418,0.126859,0.113749,0.082804,0.122534,0.128943,0.119375,0.083693,0.084074,0.108752,newmetal
0.022462,0.049329,0.079398,-72.215896,5.139400,-1.525579,3.818722,1.623247,1.785586,1.095746,1.102956,0.432150,0.995061,0.167479,1.269562,0.307600,0.010532,0.036265,0.041077,2.150918,0.560585,0.550713,0.517156,0.494916,0.498795,0.487691,0.480017,0.448534,0.448046,0.453266,0.476660,0.444555,0.007623,0.018588,0.010920,7.703604,0.370099,0.482317,0.454927,0.321302,0.240604,0.308027,0.257428,0.268744,0.262754,0.254924,0.362745,0.504924,0.019049,0.034928,0.033056,4.628033,0.219824,0.123675,0.254104,0.108357,0.121880,0.094465,0.081067,0.081330,0.080211,0.063947,0.099128,0.071708,newmetal
0.043580,0.122117,0.086919,-59.816160,3.314581,1.080083,1.252716,0.792664,0.896062,0.544350,0.636788,0.379968,0.223662,0.579228,0.336965,0.397999,0.036890,0.115910,0.046238,4.204947,1.089722,0.802883,0.637751,0.555666,0.504894,0.457466,0.485616,0.471635,0.445477,0.469579,0.474213,0.386133,0.016738,0.053421,0.010497,2.654184,0.537118,0.607687,0.415891,0.344319,0.287408,0.238512,0.206606,0.279064,0.218298,0.269955,0.231815,0.221985,0.026555,0.064585,0.031966,4.794737,0.270214,0.192152,0.223899,0.115923,0.079590,0.070223,0.083070,0.083117,0.079640,0.073477,0.073998,0.060515,newmetal
0.039454,0.112862,0.084243,-66.584943,3.771572,0.801151,2.043713,0.353696,0.931120,0.488509,0.582933,0.162322,0.329804,0.687180,0.686746,0.286716,0.027271,0.107623,0.048875,7.487219,1.294297,0.718474,0.548539,0.546061,0.488621,0.458203,0.524013,0.487630,0.433646,0.436945,0.446688,0.440103,0.020161,0.069958,0.013845,12.685269,0.680081,0.630450,0.356150,0.571187,0.197514,0.253369,0.334983,0.359929,0.221638,0.192237,0.214066,0.172974,0.021809,0.082357,0.032837,6.748289,0.606108,0.292462,0.175535,0.225960,0.137063,0.110506,0.108556,0.121823,0.073410,0.126825,0.174772,0.110826,newmetal
0.064329,0.148265,0.090124,-64.435810,2.509557,0.489740,3.444580,-0.136650,1.460307,0.101753,1.788322,0.204199,1.416384,-0.228083,0.481780,0.539905,0.032210,0.060270,0.062100,3.582007,1.181599,0.555640,0.531047,0.474354,0.443673,0.461058,0.457752,0.422164,0.438721,0.436916,0.386896,0.415531,0.032209,0.059898,0.018996,4.915006,1.148817,0.520823,0.479688,0.325423,0.418278,0.283399,0.432607,0.292525,0.321038,0.365445,0.238803,0.298741,0.034989,0.069534,0.044219,6.483798,0.518013,0.123303,0.197337,0.096985,0.106304,0.076163,0.131163,0.089906,0.104324,0.085402,0.065662,0.088649,newmetal
0.044883,0.180111,0.068650,-62.303309,3.226428,0.603831,1.978095,0.123644,0.594772,0.490927,0.582119,0.465056,0.708910,0.667359,0.504929,0.426888,0.028145,0.084455,0.033657,7.117532,0.851261,0.601402,0.599298,0.510316,0.424289,0.445346,0.407602,0.407614,0.388785,0.391821,0.370002,0.362238,0.019041,0.192137,0.013896,31.884233,1.679410,0.434164,0.442439,0.416258,0.407344,0.264580,0.337878,0.259791,0.252795,0.227887,0.235932,0.218763,0.029080,0.082200,0.036171,17.554230,0.965678,0.215399,0.172061,0.157128,0.129793,0.137443,0.100029,0.113473,0.105621,0.105516,0.100013,0.075456,newmetal
0.054040,0.147137,0.079475,-55.147549,2.647374,0.041526,1.686650,0.288734,0.377603,0.588245,0.975752,0.463693,0.738366,0.582015,0.635942,-0.200868,0.028346,0.073381,0.044081,2.440483,0.698621,0.597459,0.616724,0.581962,0.564944,0.562921,0.518478,0.487868,0.482582,0.543834,0.483904,0.444305,0.018545,0.044722,0.009500,5.492040,0.866877,0.324833,0.919354,0.490954,0.368701,0.207007,0.179297,0.180958,0.184594,0.201801,0.097209,0.208035,0.030658,0.062565,0.032585,4.327169,0.359363,0.175651,0.237164,0.272059,0.220392,0.270791,0.207062,0.151097,0.151319,0.204343,0.167525,0.138822,newmetal
0.084896,0.186690,0.077135,-73.226401,3.436734,-0.226548,1.384672,0.046946,0.747368,0.892370,0.580423,0.249909,0.773851,0.223093,0.515768,0.530547,0.043184,0.114976,0.035504,6.531066,1.440125,1.053495,0.854398,0.582425,0.522505,0.599437,0.506114,0.451067,0.531228,0.450876,0.430632,0.386069,0.055647,0.139043,0.009246,19.469857,2.298627,1.193337,1.014024,0.655287,0.515635,0.472115,0.372956,0.396402,0.531714,0.342906,0.336548,0.207827,0.037406,0.089189,0.034432,7.600536,0.789759,0.485750,0.400862,0.223894,0.129857,0.270547,0.169934,0.110174,0.191792,0.121972,0.120607,0.070541,newmetal
0.044150,0.140979,0.080809,-55.401046,2.370287,0.599369,1.404477,0.424651,0.782308,0.381791,0.924960,0.204377,0.674827,0.385942,0.473135,0.326305,0.027891,0.113273,0.046422,3.263342,0.866026,0.667695,0.531718,0.474980,0.466272,0.446304,0.413444,0.431357,0.420401,0.419879,0.386949,0.368237,0.014300,0.039695,0.012929,1.566739,0.398079,0.330559,0.357780,0.269643,0.169819,0.157958,0.212873,0.183088,0.129131,0.177008,0.191325,0.122394,0.024175,0.062151,0.032590,4.290965,0.258563,0.203344,0.137189,0.084341,0.106545,0.060385,0.050902,0.062698,0.071130,0.070601,0.047873,0.045015,newmetal
0.047581,0.106394,0.085959,-55.831400,2.473182,-1.459157,1.697085,0.609790,0.679861,0.523512,0.897565,0.557067,0.917166,0.752454,0.338305,0.430854,0.027169,0.059612,0.048610,3.079111,0.945510,0.727528,0.659472,0.540717,0.471644,0.447436,0.431467,0.464311,0.451282,0.441440,0.404731,0.409352,0.012184,0.024474,0.011419,1.087368,0.870859,0.476852,0.373424,0.174091,0.149899,0.109401,0.181158,0.176944,0.148097,0.155366,0.099434,0.118799,0.018002,0.041390,0.031299,2.352255,0.345182,0.191219,0.175745,0.106898,0.095889,0.085142,0.079157,0.085432,0.059845,0.078910,0.067841,0.076737,newmetal
